Script File,Title,Female Total,Male Total,Either Total,Female Positive Agency,Female Negative Agency,Male Positive Agency,Male Negative Agency,Either Positive Agency,Either Negative Agency,Female Power,Male Power,Either Power
./scriptbase titles/Wag the Dog/script.txt,Wag the Dog,25,108,89,18,0,42,21,46,18,9,38,47
./scriptbase titles/Machete (film)/script.txt,Machete (film),94,176,89,66,8,86,15,53,13,56,68,50
./scriptbase titles/Eternal Sunshine of the Spotless Mind/script.txt,Eternal Sunshine of the Spotless Mind,273,252,164,162,26,136,29,78,26,126,96,57
./scriptbase titles/2012 (film)/script.txt,2012 (film),199,594,498,96,20,343,74,261,111,72,274,198
./scriptbase titles/Super 8 (film)/script.txt,Super 8 (film),140,303,393,61,14,182,45,238,60,58,152,187
./scriptbase titles/National Lampoons Barely Legal/script.txt,National Lampoons Barely Legal,145,252,258,82,16,134,31,154,24,77,120,127
./scriptbase titles/Reindeer Games/script.txt,Reindeer Games,134,553,430,70,14,282,92,289,57,55,213,211
./scriptbase titles/Unforgiven/script.txt,Unforgiven,101,387,270,50,22,195,58,160,41,45,157,129
./scriptbase titles/Chasing Amy/script.txt,Chasing Amy,225,204,99,130,22,116,16,51,10,109,92,38
./scriptbase titles/Freddy vs. Jason/script.txt,Freddy vs. Jason,477,465,222,274,43,283,38,125,32,182,214,95
./scriptbase titles/Alien Nation (film)/script.txt,Alien Nation (film),52,393,90,29,12,229,55,62,8,18,164,36
./scriptbase titles/The Goonies/script.txt,The Goonies,50,341,414,33,4,211,47,225,105,22,161,175
./scriptbase titles/I Walked with a Zombie/script.txt,I Walked with a Zombie,287,147,150,131,49,97,15,79,24,109,71,66
./scriptbase titles/Romeo + Juliet/script.txt,Romeo + Juliet,192,444,80,112,12,300,30,48,11,77,203,31
./scriptbase titles/Limitless/script.txt,Limitless,71,320,378,39,11,156,64,208,79,34,144,157
./scriptbase titles/Prometheus (2012 film)/script.txt,Prometheus (2012 film),174,192,137,103,24,111,28,81,18,83,73,65
./scriptbase titles/Willow (film)/script.txt,Willow (film),248,199,126,144,18,129,23,69,15,97,83,43
./scriptbase titles/The Leopard Man/script.txt,The Leopard Man,369,200,168,232,37,121,15,93,19,162,105,56
./scriptbase titles/Demolition Man (film)/script.txt,Demolition Man (film),75,251,134,44,10,120,44,80,18,32,99,69
./scriptbase titles/Nothing But a Man/script.txt,Nothing But a Man,92,177,69,40,18,101,22,42,6,33,96,30
./scriptbase titles/Badlands (film)/script.txt,Badlands (film),64,250,302,31,7,144,33,187,45,27,114,146
./scriptbase titles/Nurse Betty/script.txt,Nurse Betty,390,390,164,204,59,229,52,89,20,162,177,64
./scriptbase titles/As Good as It Gets/script.txt,As Good as It Gets,233,402,144,148,31,225,37,92,17,119,189,82
./scriptbase titles/Top Gun/script.txt,Top Gun,144,485,153,103,17,265,64,82,20,76,215,52
./scriptbase titles/Gattaca/script.txt,Gattaca,114,530,176,65,15,332,72,82,52,47,256,58
./scriptbase titles/Enemy of the State (film)/script.txt,Enemy of the State (film),45,243,437,21,4,127,44,211,167,22,106,197
./scriptbase titles/Good Will Hunting/script.txt,Good Will Hunting,46,210,235,27,4,121,36,131,42,24,102,99
./scriptbase titles/The Last of the Mohicans (1992 film)/script.txt,The Last of the Mohicans (1992 film),188,336,277,80,21,169,57,147,61,65,162,124
./scriptbase titles/Toy Story/script.txt,Toy Story,23,309,277,14,2,171,26,181,55,9,119,135
./scriptbase titles/The Bounty Hunter (2010 film)/script.txt,The Bounty Hunter (2010 film),201,443,211,101,35,266,64,134,30,66,211,84
./scriptbase titles/Funny People/script.txt,Funny People,136,307,497,71,20,158,44,285,76,57,133,224
./scriptbase titles/Wild Things/script.txt,Wild Things,360,324,743,172,42,196,31,402,187,134,158,286
./scriptbase titles/Godzilla (1998 film)/script.txt,Godzilla (1998 film),124,337,260,72,12,228,30,151,32,55,166,117
./scriptbase titles/Superbad (film)/script.txt,Superbad (film),141,377,254,75,19,214,56,152,45,61,175,123
./scriptbase titles/Invictus (film)/script.txt,Invictus (film),59,323,185,43,8,174,57,88,42,34,143,84
./scriptbase titles/Cast Away/script.txt,Cast Away,65,729,78,34,11,459,125,35,16,33,341,32
./scriptbase titles/Heathers/script.txt,Heathers,158,82,56,110,19,48,8,37,3,83,30,25
./scriptbase titles/Disturbia (film)/script.txt,Disturbia (film),110,393,791,58,17,247,46,488,142,42,190,382
./scriptbase titles/Mrs. Brown/script.txt,Mrs. Brown,174,171,65,83,28,88,28,35,12,67,77,29
./scriptbase titles/Face-Off/script.txt,Face-Off,108,485,151,61,13,270,70,86,12,52,204,66
./scriptbase titles/Gang Related/script.txt,Gang Related,186,352,150,90,31,163,56,60,29,81,137,46
./scriptbase titles/Sister Act/script.txt,Sister Act,255,192,461,137,41,110,25,266,56,114,92,194
./scriptbase titles/The Devils Advocate (1997 film)/script.txt,The Devils Advocate (1997 film),171,185,234,92,18,110,23,140,29,69,90,108
./scriptbase titles/Tin Cup/script.txt,Tin Cup,108,306,64,59,18,199,45,38,6,46,160,26
./scriptbase titles/Basic Instinct/script.txt,Basic Instinct,502,543,232,260,59,224,103,76,41,222,218,87
./scriptbase titles/The Village (2004 film)/script.txt,The Village (2004 film),261,231,93,140,46,134,43,49,16,97,103,42
./scriptbase titles/Angels & Demons (film)/script.txt,Angels & Demons (film),102,386,298,59,12,229,59,171,61,41,156,123
./scriptbase titles/The Corruptor/script.txt,The Corruptor,69,730,184,37,3,417,107,98,22,22,333,77
./scriptbase titles/Mystery Men/script.txt,Mystery Men,115,207,138,57,9,116,30,76,24,48,92,56
./scriptbase titles/Pretty Woman/script.txt,Pretty Woman,459,429,118,261,73,256,55,66,14,201,195,55
./scriptbase titles/Thirteen Days (film)/script.txt,Thirteen Days (film),50,660,310,15,3,324,130,163,56,7,264,137
./scriptbase titles/Rear Window/script.txt,Rear Window,616,975,97,386,56,585,99,37,15,296,469,32
"./scriptbase titles/Crouching Tiger, Hidden Dragon/script.txt","Crouching Tiger, Hidden Dragon",111,131,157,50,14,69,21,99,16,39,53,70
./scriptbase titles/My Own Private Idaho/script.txt,My Own Private Idaho,73,287,142,24,14,161,44,74,21,24,123,60
./scriptbase titles/The Cell/script.txt,The Cell,439,323,130,246,75,174,61,56,22,198,133,52
./scriptbase titles/9 (2009 animated film)/script.txt,9 (2009 animated film),37,244,122,21,5,119,52,52,29,15,101,40
./scriptbase titles/Reservoir Dogs/script.txt,Reservoir Dogs,86,213,602,49,13,113,29,350,172,47,102,292
./scriptbase titles/Pariah (2011 film)/script.txt,Pariah (2011 film),222,99,133,139,23,65,9,96,7,116,47,69
./scriptbase titles/Wes Cravens New Nightmare/script.txt,Wes Cravens New Nightmare,480,345,79,290,47,167,53,40,6,206,154,34
./scriptbase titles/50-50 (2011 film)/script.txt,50-50 (2011 film),214,524,96,121,22,277,66,45,10,108,204,45
./scriptbase titles/Perfect Creature/script.txt,Perfect Creature,291,365,127,154,53,202,76,69,20,125,167,54
./scriptbase titles/The Insider (film)/script.txt,The Insider (film),106,481,128,47,17,235,91,76,14,36,201,70
./scriptbase titles/Panic Room/script.txt,Panic Room,590,297,124,336,93,196,31,70,26,251,135,52
./scriptbase titles/Shock Treatment/script.txt,Shock Treatment,88,111,192,54,8,48,20,96,53,48,42,79
./scriptbase titles/Real Genius/script.txt,Real Genius,28,338,150,19,5,191,43,92,20,14,156,78
./scriptbase titles/Pi (film)/script.txt,Pi (film),36,356,312,25,0,224,42,179,43,16,191,144
./scriptbase titles/Joe Versus the Volcano/script.txt,Joe Versus the Volcano,126,289,216,69,14,187,32,115,27,47,138,72
./scriptbase titles/Arctic Blue/script.txt,Arctic Blue,78,311,356,44,10,173,51,234,45,37,133,173
./scriptbase titles/Yes Man (film)/script.txt,Yes Man (film),94,187,382,50,10,106,28,245,55,44,89,206
./scriptbase titles/Little Miss Sunshine/script.txt,Little Miss Sunshine,268,519,351,162,30,331,74,182,59,114,233,155
./scriptbase titles/Clerks/script.txt,Clerks,122,245,616,62,8,144,31,320,193,43,95,259
./scriptbase titles/Manhunter (film)/script.txt,Manhunter (film),94,479,117,47,17,235,98,50,18,42,232,42
./scriptbase titles/15 Minutes/script.txt,15 Minutes,217,594,366,94,10,348,58,223,35,63,286,177
./scriptbase titles/Taking Lives (film)/script.txt,Taking Lives (film),134,284,263,64,13,126,52,157,24,67,132,124
./scriptbase titles/Stigmata (film)/script.txt,Stigmata (film),246,165,128,141,34,90,23,78,19,111,73,48
./scriptbase titles/Carrie (1976 film)/script.txt,Carrie (1976 film),465,186,146,256,68,106,20,78,16,200,68,67
./scriptbase titles/Men in Black (film)/script.txt,Men in Black (film),168,307,164,110,10,203,32,95,25,98,163,79
./scriptbase titles/Hellboy (film)/script.txt,Hellboy (film),106,360,82,53,13,218,33,48,12,45,160,34
./scriptbase titles/The King of Comedy (1983 film)/script.txt,The King of Comedy (1983 film),68,193,97,30,12,119,21,47,13,19,93,39
./scriptbase titles/The Patriot (2000 film)/script.txt,The Patriot (2000 film),116,370,818,70,16,210,47,460,157,46,159,378
./scriptbase titles/The Addams Family (film)/script.txt,The Addams Family (film),56,64,31,30,5,42,3,21,1,18,31,15
./scriptbase titles/Ninja Assassin/script.txt,Ninja Assassin,250,362,118,138,27,216,58,78,9,105,150,59
./scriptbase titles/500 Days of Summer/script.txt,500 Days of Summer,131,200,248,74,15,114,37,143,39,53,92,117
./scriptbase titles/Sunshine Cleaning/script.txt,Sunshine Cleaning,594,241,202,398,53,147,34,127,23,321,112,101
./scriptbase titles/Ferris Buellers Day Off/script.txt,Ferris Buellers Day Off,212,512,86,133,29,288,88,44,14,95,204,35
./scriptbase titles/Cellular (film)/script.txt,Cellular (film),231,293,298,155,33,159,41,188,38,103,122,147
./scriptbase titles/Ghost (1990 film)/script.txt,Ghost (1990 film),471,404,448,257,82,235,75,268,71,155,161,171
./scriptbase titles/XXX (film)/script.txt,XXX (film),109,417,207,63,12,241,53,122,29,60,189,88
./scriptbase titles/Five Easy Pieces/script.txt,Five Easy Pieces,208,299,153,135,17,176,34,95,20,91,145,75
./scriptbase titles/Basic (film)/script.txt,Basic (film),16,403,378,11,0,225,43,205,116,8,160,166
./scriptbase titles/Alone in the Dark (2005 film)/script.txt,Alone in the Dark (2005 film),214,361,273,133,22,233,37,152,65,94,181,121
./scriptbase titles/The Iron Lady (film)/script.txt,The Iron Lady (film),134,67,79,77,22,39,6,44,12,66,32,25
./scriptbase titles/Hellraiser/script.txt,Hellraiser,280,213,39,131,58,123,23,16,6,105,101,20
./scriptbase titles/Legion (2010 film)/script.txt,Legion (2010 film),219,336,332,123,26,194,37,207,43,80,167,147
./scriptbase titles/The Taking of Pelham One Two Three (1974 film)/script.txt,The Taking of Pelham One Two Three (1974 film),21,317,188,16,1,202,31,123,31,14,145,107
./scriptbase titles/The Prophecy/script.txt,The Prophecy,228,254,314,144,29,152,23,203,37,105,121,136
./scriptbase titles/Pleasantville (film)/script.txt,Pleasantville (film),276,263,301,161,32,143,36,144,76,127,100,103
./scriptbase titles/Jane Eyre (2011 film)/script.txt,Jane Eyre (2011 film),875,450,102,453,113,239,74,49,17,333,180,45
./scriptbase titles/Klute/script.txt,Klute,276,302,110,144,46,167,46,49,17,121,144,48
./scriptbase titles/The Saint (film)/script.txt,The Saint (film),276,308,157,163,24,202,30,105,15,127,150,76
./scriptbase titles/Rapture (1965 film)/script.txt,Rapture (1965 film),131,114,98,69,19,57,15,52,6,66,41,24
./scriptbase titles/Zulu Dawn/script.txt,Zulu Dawn,13,243,99,5,4,153,43,58,9,4,132,49
./scriptbase titles/Invaders from Mars (1953 film)/script.txt,Invaders from Mars (1953 film),51,216,210,28,2,131,28,134,29,17,106,90
./scriptbase titles/Cliffhanger (film)/script.txt,Cliffhanger (film),150,436,499,90,15,271,63,351,43,71,207,270
./scriptbase titles/Malibus Most Wanted/script.txt,Malibus Most Wanted,60,274,174,37,9,152,25,119,16,30,115,89
./scriptbase titles/The Exorcist (film)/script.txt,The Exorcist (film),181,194,297,105,15,117,27,197,24,84,89,124
./scriptbase titles/Machine Gun Preacher/script.txt,Machine Gun Preacher,108,305,504,59,22,158,36,305,71,38,119,214
./scriptbase titles/Rush Hour (1998 film)/script.txt,Rush Hour (1998 film),125,445,235,75,6,267,58,127,41,47,216,97
"./scriptbase titles/Bodies, Rest & Motion/script.txt","Bodies, Rest & Motion",313,199,203,176,51,124,22,112,31,134,92,90
./scriptbase titles/Smokin Aces/script.txt,Smokin Aces,76,431,327,45,12,257,55,176,95,31,206,144
./scriptbase titles/The Rock (film)/script.txt,The Rock (film),24,149,77,17,2,81,25,39,13,12,78,27
./scriptbase titles/The Jacket/script.txt,The Jacket,193,408,144,88,33,186,93,82,14,76,171,62
./scriptbase titles/10 Things I Hate About You/script.txt,10 Things I Hate About You,436,381,134,243,50,229,54,87,11,193,167,55
./scriptbase titles/While She Was Out/script.txt,While She Was Out,832,204,107,528,140,99,26,62,16,401,76,47
./scriptbase titles/Insomnia (2002 film)/script.txt,Insomnia (2002 film),225,288,143,139,26,152,34,74,17,91,124,66
./scriptbase titles/Lost Souls (film)/script.txt,Lost Souls (film),303,435,127,186,49,245,67,70,21,132,179,60
./scriptbase titles/Tombstone (film)/script.txt,Tombstone (film),107,483,296,47,14,286,56,172,33,41,202,126
./scriptbase titles/Man on Fire (2004 film)/script.txt,Man on Fire (2004 film),430,285,127,190,97,153,42,73,22,179,127,49
./scriptbase titles/Lost in America/script.txt,Lost in America,115,209,172,58,26,109,45,103,34,43,81,93
./scriptbase titles/Confidence (2003 film)/script.txt,Confidence (2003 film),98,482,513,50,5,253,49,276,148,43,224,244
./scriptbase titles/Friday the 13th Part III/script.txt,Friday the 13th Part III,308,245,137,213,26,161,32,91,12,129,121,62
./scriptbase titles/Constantine (film)/script.txt,Constantine (film),198,232,279,107,39,156,27,186,36,87,119,135
./scriptbase titles/Blade II/script.txt,Blade II,98,268,99,46,16,153,38,61,8,34,123,47
./scriptbase titles/Drive (2011 film)/script.txt,Drive (2011 film),258,385,123,121,56,171,87,56,21,75,149,34
./scriptbase titles/The Kids Are All Right (film)/script.txt,The Kids Are All Right (film),168,197,262,102,24,111,19,149,34,81,91,144
./scriptbase titles/Sex and the City (film)/script.txt,Sex and the City (film),936,288,651,522,114,160,40,304,232,424,119,285
./scriptbase titles/Bad Santa/script.txt,Bad Santa,67,275,188,45,8,173,23,123,31,30,118,88
./scriptbase titles/Schindlers List/script.txt,Schindlers List,90,526,167,34,19,265,123,82,41,29,218,61
./scriptbase titles/Point Break/script.txt,Point Break,83,491,123,51,8,311,68,77,16,40,249,63
./scriptbase titles/All About Eve/script.txt,All About Eve,535,232,289,309,84,137,25,143,33,225,101,125
./scriptbase titles/Dumb and Dumber/script.txt,Dumb and Dumber,99,426,107,49,8,278,48,63,10,43,225,43
./scriptbase titles/Cold Mountain (film)/script.txt,Cold Mountain (film),226,319,327,133,32,183,45,196,40,117,149,142
./scriptbase titles/Dave (film)/script.txt,Dave (film),152,372,322,78,31,191,67,173,57,52,142,111
./scriptbase titles/X-Men (film)/script.txt,X-Men (film),115,440,181,65,11,257,55,105,22,55,184,74
./scriptbase titles/Slither (2006 film)/script.txt,Slither (2006 film),495,464,337,257,87,277,66,180,65,181,212,126
./scriptbase titles/Affliction (film)/script.txt,Affliction (film),139,320,90,63,14,181,33,64,10,44,142,39
./scriptbase titles/The Time Machine (1960 film)/script.txt,The Time Machine (1960 film),60,267,78,25,8,167,44,40,6,20,137,31
./scriptbase titles/Drop Dead Gorgeous (film)/script.txt,Drop Dead Gorgeous (film),315,62,329,186,36,38,4,192,92,146,24,165
./scriptbase titles/Ted (film)/script.txt,Ted (film),174,304,499,90,32,189,32,314,69,65,154,211
./scriptbase titles/Barry Lyndon/script.txt,Barry Lyndon,131,398,73,73,19,218,57,41,16,56,187,42
./scriptbase titles/Antz/script.txt,Antz,61,115,207,25,6,59,21,110,24,19,43,79
./scriptbase titles/Metro (1997 film)/script.txt,Metro (1997 film),97,440,441,54,10,253,70,216,134,44,219,193
./scriptbase titles/Shes Out of My League/script.txt,Shes Out of My League,249,440,158,149,30,252,57,99,19,115,196,87
./scriptbase titles/Capote (film)/script.txt,Capote (film),134,524,617,69,23,246,88,293,198,67,218,269
./scriptbase titles/The Damned United/script.txt,The Damned United,8,111,74,2,0,57,18,37,13,2,53,27
./scriptbase titles/Scream (1996 film)/script.txt,Scream (1996 film),274,316,223,161,32,198,28,148,20,134,139,105
./scriptbase titles/Memento (film)/script.txt,Memento (film),152,676,170,81,13,383,63,80,21,68,319,54
./scriptbase titles/Monty Python and the Holy Grail/script.txt,Monty Python and the Holy Grail,34,174,149,13,1,88,24,82,10,14,73,65
./scriptbase titles/High Fidelity (film)/script.txt,High Fidelity (film),197,273,1100,87,37,147,48,501,324,80,105,416
./scriptbase titles/Murderland/script.txt,Murderland,25,517,135,14,2,308,87,82,12,10,259,67
./scriptbase titles/Ghost Ship (2002 film)/script.txt,Ghost Ship (2002 film),368,327,125,225,32,214,29,62,15,157,162,55
./scriptbase titles/House of 1000 Corpses/script.txt,House of 1000 Corpses,175,203,96,109,21,144,15,65,10,65,104,42
./scriptbase titles/Ticker (2001 film)/script.txt,Ticker (2001 film),96,211,91,51,14,138,23,58,11,30,102,42
./scriptbase titles/Whiteout (2009 film)/script.txt,Whiteout (2009 film),418,309,114,270,44,168,43,64,12,214,123,49
./scriptbase titles/Hostage (film)/script.txt,Hostage (film),102,439,511,47,15,234,89,252,147,38,200,231
./scriptbase titles/Judge Dredd (film)/script.txt,Judge Dredd (film),69,291,117,46,8,151,35,69,15,38,116,55
./scriptbase titles/Agnes of God (film)/script.txt,Agnes of God (film),372,40,88,199,68,27,3,46,15,177,25,34
./scriptbase titles/El Mariachi/script.txt,El Mariachi,71,264,61,40,10,165,37,35,13,39,135,31
./scriptbase titles/The African Queen (film)/script.txt,The African Queen (film),419,459,339,222,61,240,83,192,71,205,210,138
./scriptbase titles/Spartan (film)/script.txt,Spartan (film),162,511,405,56,21,313,38,259,33,43,262,214
./scriptbase titles/Orgy of the Dead/script.txt,Orgy of the Dead,54,13,58,28,5,8,3,31,6,15,7,23
./scriptbase titles/Major League (film)/script.txt,Major League (film),95,496,123,53,16,301,46,65,20,50,229,55
./scriptbase titles/The Hitchhikers Guide to the Galaxy (film)/script.txt,The Hitchhikers Guide to the Galaxy (film),70,410,142,38,7,255,43,81,23,28,185,57
./scriptbase titles/The Flintstones (film)/script.txt,The Flintstones (film),57,296,272,35,4,204,20,175,23,26,143,131
./scriptbase titles/Malcolm X (film)/script.txt,Malcolm X (film),149,754,147,85,18,423,108,78,18,73,339,67
./scriptbase titles/Lake Placid (film)/script.txt,Lake Placid (film),85,331,176,48,11,181,42,118,23,31,119,81
./scriptbase titles/The Ides of March (film)/script.txt,The Ides of March (film),77,196,165,35,16,98,22,88,19,34,83,69
./scriptbase titles/This Boys Life (film)/script.txt,This Boys Life (film),240,426,325,149,32,272,47,212,40,101,223,150
./scriptbase titles/Casablanca (film)/script.txt,Casablanca (film),160,317,307,61,28,172,47,159,53,56,164,127
./scriptbase titles/Aliens (film)/script.txt,Aliens (film),320,467,152,194,38,290,47,95,20,157,207,73
./scriptbase titles/Leaving Las Vegas/script.txt,Leaving Las Vegas,210,320,164,106,23,203,34,88,22,83,156,68
./scriptbase titles/Some Like It Hot/script.txt,Some Like It Hot,144,268,314,77,15,167,28,208,28,72,129,148
./scriptbase titles/Whos Your Daddy (film)/script.txt,Whos Your Daddy (film),107,206,388,64,20,115,33,227,49,50,85,161
./scriptbase titles/Network (film)/script.txt,Network (film),72,213,101,42,14,105,40,44,15,37,69,39
./scriptbase titles/The Dark Knight (film)/script.txt,The Dark Knight (film),99,506,511,37,17,254,59,257,145,29,234,242
./scriptbase titles/Traffic (2000 film)/script.txt,Traffic (2000 film),321,495,288,154,45,273,60,153,44,133,237,128
./scriptbase titles/The Elephant Man (film)/script.txt,The Elephant Man (film),117,704,177,73,16,389,76,90,27,47,279,68
./scriptbase titles/Adaptation (film)/script.txt,Adaptation (film),144,243,70,78,21,133,33,42,6,50,86,34
./scriptbase titles/Cars 2/script.txt,Cars 2,62,312,109,33,11,182,33,72,13,28,131,50
./scriptbase titles/Jason X/script.txt,Jason X,193,333,138,104,28,213,36,78,16,75,161,59
./scriptbase titles/Last Tango in Paris/script.txt,Last Tango in Paris,408,363,171,239,55,253,31,103,22,177,216,78
./scriptbase titles/Entrapment (film)/script.txt,Entrapment (film),314,453,269,181,29,305,51,179,30,133,236,127
./scriptbase titles/Ed Wood (film)/script.txt,Ed Wood (film),143,460,427,84,14,291,53,286,50,53,185,176
./scriptbase titles/The Debt (2011 film)/script.txt,The Debt (2011 film),628,355,293,376,104,220,26,165,57,267,163,130
./scriptbase titles/Stalag 17/script.txt,Stalag 17,54,467,214,35,5,287,44,117,35,31,205,108
./scriptbase titles/Beloved (film)/script.txt,Beloved (film),581,287,248,291,95,155,50,143,42,214,125,110
./scriptbase titles/Sleepy Hollow (film)/script.txt,Sleepy Hollow (film),174,507,73,95,22,271,77,31,4,77,203,30
./scriptbase titles/Thunderheart/script.txt,Thunderheart,94,582,483,53,7,318,92,285,68,39,256,215
./scriptbase titles/Vertigo (film)/script.txt,Vertigo (film),515,551,87,245,69,331,88,37,18,193,250,38
./scriptbase titles/Get Carter/script.txt,Get Carter,156,547,148,66,21,346,71,89,17,49,259,48
./scriptbase titles/Frequency (film)/script.txt,Frequency (film),113,416,491,49,13,235,64,322,66,45,189,232
./scriptbase titles/The Power of One (film)/script.txt,The Power of One (film),77,490,176,46,8,296,47,102,23,27,230,69
./scriptbase titles/Strangers on a Train (film)/script.txt,Strangers on a Train (film),148,542,75,62,28,322,71,45,6,64,235,39
