Script File,Title,Female Total,Male Total,Either Total,Female Positive Agency,Female Negative Agency,Male Positive Agency,Male Negative Agency,Either Positive Agency,Either Negative Agency,Female Power,Male Power,Either Power
./scriptbase titles/The Back-up Plan/script.txt,The Back-up Plan,320,163,82,194,32,88,17,45,8,147,59,33
./scriptbase titles/Little Athens/script.txt,Little Athens,546,567,153,303,94,374,58,83,11,266,299,64
./scriptbase titles/True Grit (2010 film)/script.txt,True Grit (2010 film),145,381,238,100,10,246,31,134,22,71,187,88
./scriptbase titles/Shampoo (film)/script.txt,Shampoo (film),331,375,339,168,46,216,44,192,43,144,170,144
./scriptbase titles/I Know What You Did Last Summer/script.txt,I Know What You Did Last Summer,179,138,233,108,25,75,24,137,24,75,59,93
"./scriptbase titles/I, Robot (film)/script.txt","I, Robot (film)",24,182,112,15,4,97,24,67,10,15,74,45
./scriptbase titles/Birthday Girl/script.txt,Birthday Girl,349,477,363,188,32,290,63,175,59,141,219,153
./scriptbase titles/True Believer (1989 film)/script.txt,True Believer (1989 film),59,374,246,30,12,200,60,181,22,19,152,112
./scriptbase titles/Nine (2009 live-action film)/script.txt,Nine (2009 live-action film),190,313,61,111,18,164,47,38,11,75,135,30
./scriptbase titles/Music of the Heart/script.txt,Music of the Heart,564,212,249,330,69,117,29,145,34,231,80,102
./scriptbase titles/The Sixth Sense/script.txt,The Sixth Sense,212,551,455,129,31,297,99,266,67,91,209,190
./scriptbase titles/The Deer Hunter/script.txt,The Deer Hunter,73,238,107,38,9,135,35,59,15,25,111,56
./scriptbase titles/L.A. Confidential (film)/script.txt,L.A. Confidential (film),98,581,254,36,14,310,71,131,37,23,269,118
./scriptbase titles/Lethal Weapon/script.txt,Lethal Weapon,92,322,89,53,10,216,35,45,16,30,127,41
./scriptbase titles/12 and Holding/script.txt,12 and Holding,98,404,164,52,16,242,51,107,17,46,186,83
./scriptbase titles/48 Hrs./script.txt,48 Hrs.,99,281,142,46,5,173,25,87,25,34,148,73
./scriptbase titles/Kundun/script.txt,Kundun,16,326,78,11,2,192,61,42,8,10,147,24
./scriptbase titles/The Matrix Reloaded/script.txt,The Matrix Reloaded,81,253,109,41,10,153,25,73,13,37,114,69
./scriptbase titles/Star Trek (film)/script.txt,Star Trek (film),79,405,118,36,11,237,54,79,11,33,190,63
./scriptbase titles/The Kings Speech/script.txt,The Kings Speech,92,206,167,50,16,117,33,98,25,32,100,70
./scriptbase titles/Gods and Monsters/script.txt,Gods and Monsters,145,433,48,96,17,251,70,26,9,70,176,16
./scriptbase titles/The Straight Story/script.txt,The Straight Story,209,328,359,120,29,194,46,204,55,91,148,160
./scriptbase titles/Arthur (2011 film)/script.txt,Arthur (2011 film),244,341,78,132,24,198,55,47,9,95,166,39
./scriptbase titles/Krull (film)/script.txt,Krull (film),135,202,121,61,27,122,31,77,22,56,95,75
./scriptbase titles/Millers Crossing/script.txt,Millers Crossing,117,541,375,68,14,300,66,245,45,45,238,176
./scriptbase titles/The Crow (film)/script.txt,The Crow (film),108,325,166,52,16,221,40,115,17,36,168,75
./scriptbase titles/Crime Spree/script.txt,Crime Spree,90,490,340,51,13,274,74,194,45,35,210,165
./scriptbase titles/The Whistleblower/script.txt,The Whistleblower,729,241,257,334,100,140,23,137,44,302,126,113
./scriptbase titles/Unbreakable (film)/script.txt,Unbreakable (film),106,522,344,51,12,296,82,190,65,44,230,145
./scriptbase titles/Antitrust (film)/script.txt,Antitrust (film),217,804,219,126,26,432,149,135,30,95,363,121
./scriptbase titles/Ordinary People/script.txt,Ordinary People,176,339,62,98,25,180,78,38,7,64,125,32
./scriptbase titles/Silver Linings Playbook/script.txt,Silver Linings Playbook,97,123,125,47,22,66,21,64,18,35,46,46
./scriptbase titles/The White Ribbon/script.txt,The White Ribbon,229,346,178,115,38,183,52,75,43,88,127,65
./scriptbase titles/Sphere (film)/script.txt,Sphere (film),116,430,138,66,9,229,57,65,20,53,183,47
./scriptbase titles/The Big Lebowski/script.txt,The Big Lebowski,60,258,77,38,3,168,27,54,12,23,124,40
./scriptbase titles/The Departed/script.txt,The Departed,68,379,143,44,8,186,69,76,24,36,168,68
./scriptbase titles/Out of Sight/script.txt,Out of Sight,336,548,209,186,36,303,74,106,35,157,249,98
./scriptbase titles/American Pie (film)/script.txt,American Pie (film),193,330,464,117,27,200,38,252,146,87,141,190
./scriptbase titles/Raging Bull/script.txt,Raging Bull,102,238,96,37,3,128,17,47,21,33,115,38
./scriptbase titles/Hero (1992 film)/script.txt,Hero (1992 film),85,320,96,47,25,154,67,48,8,31,126,37
./scriptbase titles/Jackie Brown (film)/script.txt,Jackie Brown (film),921,380,1190,375,179,178,66,663,300,400,167,543
./scriptbase titles/Beginners/script.txt,Beginners,193,533,234,117,16,308,64,151,29,79,232,109
./scriptbase titles/The Long Kiss Goodnight/script.txt,The Long Kiss Goodnight,368,307,105,232,32,190,29,57,10,163,125,40
./scriptbase titles/Forrest Gump/script.txt,Forrest Gump,197,607,159,124,26,376,58,100,20,90,225,84
./scriptbase titles/Idiocracy/script.txt,Idiocracy,108,188,266,54,13,95,27,159,32,46,71,112
./scriptbase titles/Frances (film)/script.txt,Frances (film),411,234,350,208,65,145,33,191,60,146,84,144
./scriptbase titles/Warrior (2011 film)/script.txt,Warrior (2011 film),62,535,246,31,14,273,69,148,35,26,220,91
./scriptbase titles/G.I. Jane/script.txt,G.I. Jane,131,127,188,71,14,74,19,122,24,58,54,99
./scriptbase titles/Evil Dead II/script.txt,Evil Dead II,214,317,226,133,12,230,30,154,24,88,167,107
./scriptbase titles/The Wild One/script.txt,The Wild One,209,605,137,117,25,345,69,88,11,66,254,74
./scriptbase titles/We Own the Night (film)/script.txt,We Own the Night (film),198,419,609,111,25,214,62,365,83,86,174,282
./scriptbase titles/The Black Dahlia (film)/script.txt,The Black Dahlia (film),389,1023,636,171,60,576,136,358,145,140,476,277
./scriptbase titles/Pulp Fiction/script.txt,Pulp Fiction,130,437,128,75,14,299,43,85,22,54,214,73
./scriptbase titles/Fatal Instinct/script.txt,Fatal Instinct,400,401,395,294,31,251,46,257,45,219,192,200
./scriptbase titles/The Big Blue/script.txt,The Big Blue,103,282,77,55,21,144,39,43,13,46,119,41
./scriptbase titles/The Fabulous Baker Boys/script.txt,The Fabulous Baker Boys,231,175,409,125,23,93,24,223,60,88,73,180
./scriptbase titles/Amour (2012 film)/script.txt,Amour (2012 film),200,311,85,96,30,193,44,51,16,63,149,37
./scriptbase titles/Colombiana/script.txt,Colombiana,336,397,317,174,52,248,41,191,42,147,183,133
./scriptbase titles/Heavy Metal (film)/script.txt,Heavy Metal (film),79,105,47,42,16,67,12,37,2,25,49,21
./scriptbase titles/Solaris (2002 film)/script.txt,Solaris (2002 film),149,218,61,63,34,109,28,35,9,50,82,29
./scriptbase titles/Bad Day at Black Rock/script.txt,Bad Day at Black Rock,56,583,92,29,5,352,62,53,16,19,267,43
./scriptbase titles/Wind Chill (film)/script.txt,Wind Chill (film),379,263,67,239,55,159,26,39,9,181,116,30
./scriptbase titles/Labyrinth (film)/script.txt,Labyrinth (film),239,184,290,143,35,122,20,153,78,102,82,129
./scriptbase titles/The Horse Whisperer (film)/script.txt,The Horse Whisperer (film),856,503,804,452,135,265,81,465,128,327,209,339
./scriptbase titles/Tinker Tailor Soldier Spy (film)/script.txt,Tinker Tailor Soldier Spy (film),122,407,159,67,17,219,68,81,30,55,196,66
./scriptbase titles/Deep Rising/script.txt,Deep Rising,113,191,95,71,12,120,23,42,9,57,92,22
./scriptbase titles/On the Waterfront/script.txt,On the Waterfront,96,446,392,41,17,228,53,207,43,25,182,156
./scriptbase titles/Virtuosity/script.txt,Virtuosity,111,634,149,72,17,377,81,89,10,54,310,64
./scriptbase titles/The French Connection (film)/script.txt,The French Connection (film),121,185,65,62,19,115,22,46,5,59,95,34
./scriptbase titles/American Graffiti/script.txt,American Graffiti,240,541,480,127,20,264,79,302,45,98,218,205
./scriptbase titles/Hannah and Her Sisters/script.txt,Hannah and Her Sisters,352,395,1171,221,25,264,37,574,377,182,205,507
./scriptbase titles/Jay and Silent Bob Strike Back/script.txt,Jay and Silent Bob Strike Back,119,116,624,78,9,70,2,380,101,59,44,262
./scriptbase titles/Serial Mom/script.txt,Serial Mom,121,81,45,70,19,40,10,22,7,55,36,17
./scriptbase titles/Two for the Money (film)/script.txt,Two for the Money (film),39,217,76,15,5,119,34,41,13,9,99,48
./scriptbase titles/Henrys Crime/script.txt,Henrys Crime,158,266,473,88,21,147,24,262,64,57,126,220
./scriptbase titles/Avatar (2009 film)/script.txt,Avatar (2009 film),215,673,288,154,18,363,84,173,37,110,277,122
./scriptbase titles/The Abyss/script.txt,The Abyss,149,389,190,77,16,240,50,127,26,62,195,82
./scriptbase titles/Resident Evil (film)/script.txt,Resident Evil (film),131,128,85,72,32,68,23,36,19,60,51,32
./scriptbase titles/Storytelling (film)/script.txt,Storytelling (film),60,101,56,23,10,61,14,34,11,19,47,19
./scriptbase titles/Office Space/script.txt,Office Space,215,143,92,118,55,93,20,52,11,101,83,42
./scriptbase titles/Analyze This/script.txt,Analyze This,28,229,200,12,3,103,32,115,21,9,87,82
./scriptbase titles/The Shawshank Redemption/script.txt,The Shawshank Redemption,35,513,346,8,7,309,82,229,30,11,248,148
./scriptbase titles/The Verdict/script.txt,The Verdict,155,333,165,73,19,189,31,100,22,68,169,87
./scriptbase titles/State and Main/script.txt,State and Main,191,283,273,99,19,170,28,159,31,77,134,130
./scriptbase titles/Three Kings (1999 film)/script.txt,Three Kings (1999 film),32,512,153,14,3,319,38,104,19,16,251,77
./scriptbase titles/Arbitrage (film)/script.txt,Arbitrage (film),128,245,536,58,23,142,46,298,117,50,97,221
./scriptbase titles/Devil in a Blue Dress (film)/script.txt,Devil in a Blue Dress (film),219,452,84,111,27,287,49,41,13,92,231,29
./scriptbase titles/Jerry Maguire/script.txt,Jerry Maguire,274,340,309,175,26,199,45,185,43,143,143,131
./scriptbase titles/Cool Hand Luke/script.txt,Cool Hand Luke,42,428,150,17,9,256,55,93,18,15,197,82
./scriptbase titles/Smokey and the Bandit/script.txt,Smokey and the Bandit,82,187,374,66,3,113,22,242,84,41,84,155
./scriptbase titles/Children of Men/script.txt,Children of Men,198,367,661,103,38,226,36,378,76,82,187,311
./scriptbase titles/Total Recall (1990 film)/script.txt,Total Recall (1990 film),172,256,158,101,17,128,22,103,21,75,104,78
./scriptbase titles/Eight Legged Freaks/script.txt,Eight Legged Freaks,89,273,312,62,11,145,49,193,35,50,122,132
./scriptbase titles/Donnie Darko/script.txt,Donnie Darko,143,129,300,65,25,72,16,165,42,45,56,124
./scriptbase titles/Sugar (2008 film)/script.txt,Sugar (2008 film),99,422,458,58,5,233,54,264,77,47,159,187
./scriptbase titles/The Three Musketeers (1993 film)/script.txt,The Three Musketeers (1993 film),142,397,156,67,24,197,75,89,18,49,144,75
./scriptbase titles/Black Swan (film)/script.txt,Black Swan (film),1054,186,77,586,165,133,19,36,6,439,97,33
./scriptbase titles/Win Win (film)/script.txt,Win Win (film),116,521,304,61,14,277,65,180,41,44,255,163
./scriptbase titles/Ring (film)/script.txt,Ring (film),197,129,46,114,40,75,21,28,6,77,61,23
./scriptbase titles/A Bucket of Blood (1995 film)/script.txt,A Bucket of Blood (1995 film),73,322,41,33,12,194,33,13,8,21,138,11
./scriptbase titles/Babel (film)/script.txt,Babel (film),473,595,246,233,61,365,67,125,17,180,300,95
./scriptbase titles/EDtv/script.txt,EDtv,250,343,370,121,28,191,56,197,66,112,172,170
./scriptbase titles/Punch-Drunk Love/script.txt,Punch-Drunk Love,72,161,164,39,13,115,15,112,13,39,91,86
./scriptbase titles/Buffy the Vampire Slayer (film)/script.txt,Buffy the Vampire Slayer (film),489,344,180,269,53,217,30,110,18,195,172,86
./scriptbase titles/Jurassic Park III/script.txt,Jurassic Park III,86,340,304,53,10,189,52,173,48,39,149,114
./scriptbase titles/Hard to Kill/script.txt,Hard to Kill,219,278,119,146,21,177,38,69,9,106,135,56
./scriptbase titles/Little Monsters/script.txt,Little Monsters,124,490,526,60,9,326,51,337,47,49,232,239
./scriptbase titles/One Eight Seven/script.txt,One Eight Seven,188,527,100,113,20,335,62,49,19,97,258,38
./scriptbase titles/Cherry Falls/script.txt,Cherry Falls,279,383,232,120,50,242,38,122,34,110,189,86
./scriptbase titles/Jaws 2/script.txt,Jaws 2,136,392,203,77,18,235,46,111,18,53,180,92
./scriptbase titles/Almost Famous/script.txt,Almost Famous,352,845,710,180,47,423,100,353,196,145,353,322
./scriptbase titles/Election (1999 film)/script.txt,Election (1999 film),217,167,289,129,26,106,19,156,44,109,75,116
./scriptbase titles/The Cable Guy/script.txt,The Cable Guy,51,601,273,23,8,371,64,164,33,15,289,130
./scriptbase titles/Little Nicky/script.txt,Little Nicky,69,252,250,36,7,143,38,159,24,24,121,112
./scriptbase titles/Shrek/script.txt,Shrek,96,117,329,49,9,60,16,168,109,31,33,132
./scriptbase titles/The Last Station/script.txt,The Last Station,276,292,217,166,27,148,41,114,29,105,116,96
./scriptbase titles/V for Vendetta (film)/script.txt,V for Vendetta (film),273,344,188,149,31,220,46,105,24,109,175,85
./scriptbase titles/U Turn (1997 film)/script.txt,U Turn (1997 film),178,366,278,81,20,196,54,162,39,59,160,125
./scriptbase titles/Gothika/script.txt,Gothika,503,164,98,273,84,84,31,56,16,234,66,50
./scriptbase titles/The Replacements (film)/script.txt,The Replacements (film),49,326,248,33,2,207,23,160,26,25,162,117
./scriptbase titles/8mm (film)/script.txt,8mm (film),140,339,237,51,24,193,28,144,31,36,178,116
./scriptbase titles/Someone to Watch Over Me (film)/script.txt,Someone to Watch Over Me (film),151,215,76,82,18,119,31,42,10,65,98,37
./scriptbase titles/Return of the Jedi/script.txt,Return of the Jedi,86,242,95,44,13,142,21,58,11,28,99,44
./scriptbase titles/Smoke (film)/script.txt,Smoke (film),84,266,87,46,12,166,31,50,7,30,128,41
./scriptbase titles/Purple Rain (film)/script.txt,Purple Rain (film),339,615,109,197,39,378,77,55,11,160,287,55
./scriptbase titles/Cinema Paradiso/script.txt,Cinema Paradiso,149,576,126,81,29,284,113,53,28,54,233,53
./scriptbase titles/Hesher (film)/script.txt,Hesher (film),134,540,85,74,19,321,70,46,12,67,260,39
./scriptbase titles/The Kingdom (film)/script.txt,The Kingdom (film),95,190,152,57,12,101,33,82,28,39,71,65
./scriptbase titles/Silver Bullet (film)/script.txt,Silver Bullet (film),76,232,74,54,5,138,23,39,10,38,118,19
./scriptbase titles/Precious (film)/script.txt,Precious (film),320,65,530,178,43,28,6,247,166,137,27,196
./scriptbase titles/Shrek the Third/script.txt,Shrek the Third,123,282,124,84,6,178,35,76,17,58,141,50
./scriptbase titles/The Nines/script.txt,The Nines,259,350,99,156,38,199,61,54,18,121,152,38
./scriptbase titles/Mary Shelleys Frankenstein (film)/script.txt,Mary Shelleys Frankenstein (film),203,457,335,110,18,273,64,214,40,70,214,157
./scriptbase titles/Broadcast News (film)/script.txt,Broadcast News (film),396,488,273,232,48,294,59,163,36,168,226,118
./scriptbase titles/Roughshod (film)/script.txt,Roughshod (film),525,710,237,273,55,452,80,150,28,189,344,104
./scriptbase titles/Indiana Jones and the Temple of Doom/script.txt,Indiana Jones and the Temple of Doom,168,412,444,89,33,252,62,245,76,67,176,186
./scriptbase titles/Airplane!/script.txt,Airplane!,104,136,105,65,8,86,26,74,11,53,75,51
./scriptbase titles/Sounder (film)/script.txt,Sounder (film),124,282,169,75,9,159,34,115,21,74,131,90
./scriptbase titles/Kids (film)/script.txt,Kids (film),182,384,124,105,21,240,52,79,13,87,222,61
./scriptbase titles/The Ploughmans Lunch/script.txt,The Ploughmans Lunch,147,351,315,75,21,200,48,145,90,66,153,110
./scriptbase titles/Pet Sematary (film)/script.txt,Pet Sematary (film),147,426,87,71,19,253,54,52,8,62,206,45
./scriptbase titles/Benny & Joon/script.txt,Benny & Joon,55,59,57,21,15,29,10,36,7,21,34,27
./scriptbase titles/Runaway Bride (1999 film)/script.txt,Runaway Bride (1999 film),501,275,800,321,58,156,32,432,190,224,124,357
./scriptbase titles/Ill Do Anything/script.txt,Ill Do Anything,377,330,206,205,46,187,49,127,22,150,134,97
./scriptbase titles/The Believer (film)/script.txt,The Believer (film),147,477,556,93,16,255,81,310,95,59,189,246
./scriptbase titles/Bad Dreams (film)/script.txt,Bad Dreams (film),480,342,219,235,63,223,27,139,27,164,164,88
./scriptbase titles/Melvin and Howard/script.txt,Melvin and Howard,141,353,124,88,7,220,36,79,10,59,157,63
./scriptbase titles/Excalibur (film)/script.txt,Excalibur (film),226,731,167,122,24,441,106,99,14,88,324,65
./scriptbase titles/I Am Sam/script.txt,I Am Sam,342,190,664,168,47,96,39,337,191,126,89,283
./scriptbase titles/Brazil (1985 film)/script.txt,Brazil (1985 film),65,346,100,40,5,210,59,52,11,29,183,42
./scriptbase titles/The Atomic Submarine/script.txt,The Atomic Submarine,27,213,240,16,3,128,19,135,50,6,87,93
./scriptbase titles/Intolerable Cruelty/script.txt,Intolerable Cruelty,236,318,81,111,33,189,44,43,11,88,134,34
./scriptbase titles/Walking Tall (2004 film)/script.txt,Walking Tall (2004 film),8,76,134,4,0,39,7,111,4,2,31,79
./scriptbase titles/Very Bad Things/script.txt,Very Bad Things,128,310,159,60,16,188,41,90,21,55,147,70
./scriptbase titles/Rushmore (film)/script.txt,Rushmore (film),113,328,306,54,12,188,57,165,33,41,148,140
./scriptbase titles/Fast Times at Ridgemont High/script.txt,Fast Times at Ridgemont High,129,307,163,60,19,195,36,107,17,55,144,77
./scriptbase titles/Jimmy and Judy/script.txt,Jimmy and Judy,226,577,312,121,36,362,69,188,46,76,273,136
./scriptbase titles/The Fugitive (1993 film)/script.txt,The Fugitive (1993 film),81,632,262,47,10,354,98,138,85,37,312,113
./scriptbase titles/Dark City (1998 film)/script.txt,Dark City (1998 film),91,632,98,51,11,354,91,52,17,33,262,34
./scriptbase titles/Scary Movie/script.txt,Scary Movie,227,165,161,130,16,89,27,109,14,105,73,76
./scriptbase titles/The Assignment (1997 film)/script.txt,The Assignment (1997 film),139,657,207,63,14,369,104,127,36,58,327,104
./scriptbase titles/Mission to Mars/script.txt,Mission to Mars,88,470,306,52,15,253,87,148,72,35,200,129
./scriptbase titles/The Help (film)/script.txt,The Help (film),628,154,104,403,72,89,14,58,16,306,68,41
./scriptbase titles/The Private Life of Sherlock Holmes/script.txt,The Private Life of Sherlock Holmes,121,202,75,59,16,153,13,51,11,50,119,32
./scriptbase titles/Zerophilia/script.txt,Zerophilia,137,303,118,82,18,168,57,69,17,53,112,68
./scriptbase titles/Hackers (film)/script.txt,Hackers (film),75,118,263,48,8,64,16,153,66,46,67,132
./scriptbase titles/The Battle of Algiers/script.txt,The Battle of Algiers,99,476,316,59,9,283,58,187,44,54,220,149
./scriptbase titles/Barton Fink/script.txt,Barton Fink,50,486,451,33,2,285,65,229,148,14,206,191
./scriptbase titles/The Thin Man (film)/script.txt,The Thin Man (film),514,665,327,269,67,345,80,166,36,215,288,118
./scriptbase titles/Lone Star (1996 film)/script.txt,Lone Star (1996 film),112,419,218,58,10,215,71,123,31,46,173,99
./scriptbase titles/No Country for Old Men (film)/script.txt,No Country for Old Men (film),91,639,49,52,14,399,71,40,3,34,305,29
./scriptbase titles/The Adventures of Buckaroo Banzai Across the 8th Dimension/script.txt,The Adventures of Buckaroo Banzai Across the 8th Dimension,22,99,228,7,6,65,11,132,55,4,42,98
./scriptbase titles/The Cooler/script.txt,The Cooler,318,325,345,195,32,202,39,204,41,151,157,143
./scriptbase titles/The Silence of the Lambs (film)/script.txt,The Silence of the Lambs (film),448,446,115,247,76,278,55,56,18,187,195,58
./scriptbase titles/SubUrbia (film)/script.txt,SubUrbia (film),107,96,83,58,14,53,18,52,12,37,46,40
./scriptbase titles/Shallow Grave/script.txt,Shallow Grave,83,239,274,40,12,134,38,149,43,37,114,111
./scriptbase titles/Jacobs Ladder (film)/script.txt,Jacobs Ladder (film),188,597,606,109,23,339,101,264,211,70,217,247
./scriptbase titles/The Man in the Iron Mask (1998 film)/script.txt,The Man in the Iron Mask (1998 film),138,393,200,67,18,209,73,107,30,56,158,85
./scriptbase titles/Dragonslayer/script.txt,Dragonslayer,97,437,83,57,11,286,69,40,10,45,205,34
./scriptbase titles/City of Joy (film)/script.txt,City of Joy (film),144,315,229,79,18,191,46,135,22,58,149,99
./scriptbase titles/Bringing Out the Dead/script.txt,Bringing Out the Dead,133,257,303,64,18,145,28,192,29,52,100,151
./scriptbase titles/Fair Game (2010 film)/script.txt,Fair Game (2010 film),293,262,272,158,38,151,29,126,39,151,105,114
./scriptbase titles/The Distinguished Gentleman/script.txt,The Distinguished Gentleman,100,201,236,53,9,130,16,141,34,48,100,116
./scriptbase titles/Monkeybone/script.txt,Monkeybone,93,280,99,54,17,169,38,58,19,45,128,46
./scriptbase titles/Young Frankenstein/script.txt,Young Frankenstein,65,217,212,40,9,129,27,111,27,30,92,86
./scriptbase titles/Black Rain (1989 American film)/script.txt,Black Rain (1989 American film),99,423,361,55,3,234,67,207,44,42,188,178
./scriptbase titles/Only You (1994 film)/script.txt,Only You (1994 film),442,313,97,275,57,150,40,49,16,207,127,39
./scriptbase titles/Nick of Time (film)/script.txt,Nick of Time (film),144,350,97,70,19,191,36,54,16,45,147,40
./scriptbase titles/Platoon (film)/script.txt,Platoon (film),59,406,271,23,10,215,56,153,57,22,186,125
./scriptbase titles/Last Chance Harvey/script.txt,Last Chance Harvey,295,345,96,155,41,180,47,55,13,88,139,39
./scriptbase titles/The Curious Case of Benjamin Button (film)/script.txt,The Curious Case of Benjamin Button (film),618,766,230,351,80,370,127,130,36,235,276,98
./scriptbase titles/Hes Just Not That Into You (film)/script.txt,Hes Just Not That Into You (film),525,273,186,299,68,160,28,105,22,221,120,85
./scriptbase titles/The English Patient (film)/script.txt,The English Patient (film),614,438,745,269,114,267,48,386,184,249,199,266
