Script File,Title,Female Total,Male Total,Either Total,Female Positive Agency,Female Negative Agency,Male Positive Agency,Male Negative Agency,Either Positive Agency,Either Negative Agency,Female Power,Male Power,Either Power
./scriptbase titles/Annie Hall/script.txt,Annie Hall,199,190,844,130,20,117,13,411,291,99,98,358
./scriptbase titles/The X-Files (film)/script.txt,The X-Files (film),89,189,169,49,13,99,23,104,18,37,88,72
./scriptbase titles/Goodfellas/script.txt,Goodfellas,87,253,151,45,16,121,52,87,23,43,107,78
./scriptbase titles/The Hangover/script.txt,The Hangover,117,275,371,69,14,143,42,228,43,60,110,158
./scriptbase titles/Mulholland Drive (film)/script.txt,Mulholland Drive (film),399,236,152,214,59,136,30,86,21,171,105,65
./scriptbase titles/The Doors (film)/script.txt,The Doors (film),154,346,182,82,24,204,41,91,35,66,155,66
./scriptbase titles/Gone in 60 Seconds (2000 film)/script.txt,Gone in 60 Seconds (2000 film),138,347,340,46,8,193,34,214,33,33,157,170
./scriptbase titles/An American Werewolf in Paris/script.txt,An American Werewolf in Paris,204,584,712,128,15,347,60,393,140,94,233,302
./scriptbase titles/Day of the Dead (1985 film)/script.txt,Day of the Dead (1985 film),127,287,161,82,13,172,43,101,23,59,136,87
./scriptbase titles/A Dry White Season/script.txt,A Dry White Season,199,493,441,99,24,248,68,270,56,93,194,221
./scriptbase titles/Save the Last Dance/script.txt,Save the Last Dance,547,436,144,281,68,223,73,80,23,226,187,52
./scriptbase titles/Blast from the Past (film)/script.txt,Blast from the Past (film),182,482,153,127,12,288,73,85,19,92,206,70
./scriptbase titles/The Siege/script.txt,The Siege,158,382,203,84,13,193,59,113,29,58,154,82
./scriptbase titles/Blade (film)/script.txt,Blade (film),300,267,96,166,52,158,26,49,13,112,117,39
./scriptbase titles/Sleepless in Seattle/script.txt,Sleepless in Seattle,286,249,196,179,41,137,28,111,28,132,107,99
./scriptbase titles/Death to Smoochy/script.txt,Death to Smoochy,103,442,94,58,10,265,41,66,8,47,186,46
./scriptbase titles/Blade Runner/script.txt,Blade Runner,209,405,98,112,31,230,55,53,16,75,189,48
./scriptbase titles/Ghostbusters II/script.txt,Ghostbusters II,61,180,148,38,6,110,20,78,15,32,88,57
./scriptbase titles/Backdraft (film)/script.txt,Backdraft (film),69,277,456,39,6,151,38,275,53,28,123,196
./scriptbase titles/Air Force One (film)/script.txt,Air Force One (film),126,463,103,67,8,304,50,71,15,47,221,64
./scriptbase titles/The Matrix/script.txt,The Matrix,81,384,114,54,9,216,68,73,16,36,162,61
./scriptbase titles/Cradle 2 the Grave/script.txt,Cradle 2 the Grave,193,234,337,99,20,140,29,171,99,78,120,175
./scriptbase titles/The Time Machine (2002 film)/script.txt,The Time Machine (2002 film),97,343,122,35,10,198,49,70,11,32,136,42
./scriptbase titles/The Wrestler (2008 film)/script.txt,The Wrestler (2008 film),180,374,449,100,12,227,36,278,45,83,196,199
./scriptbase titles/The Lost Boys/script.txt,The Lost Boys,141,241,347,64,17,125,30,226,42,54,88,161
./scriptbase titles/The Shining (film)/script.txt,The Shining (film),113,214,138,82,8,134,21,49,16,68,119,45
./scriptbase titles/Pitch Black (film)/script.txt,Pitch Black (film),94,184,112,49,15,107,24,56,17,31,105,53
./scriptbase titles/Silverado (film)/script.txt,Silverado (film),199,850,223,101,25,511,81,126,22,70,390,89
./scriptbase titles/The Last Boy Scout/script.txt,The Last Boy Scout,117,539,527,68,9,349,46,288,143,48,234,248
./scriptbase titles/The Graduate/script.txt,The Graduate,239,382,787,123,19,251,29,421,214,107,202,318
./scriptbase titles/Harold and Maude/script.txt,Harold and Maude,275,365,119,165,29,195,65,58,23,113,145,55
./scriptbase titles/Assassins (film)/script.txt,Assassins (film),191,295,242,108,27,175,41,121,76,82,132,107
./scriptbase titles/Kung Fu Panda/script.txt,Kung Fu Panda,10,237,217,5,2,152,24,137,13,5,112,82
./scriptbase titles/Friday the 13th (1980 film)/script.txt,Friday the 13th (1980 film),215,119,81,133,29,64,9,56,5,100,61,36
./scriptbase titles/Nashville (film)/script.txt,Nashville (film),246,201,100,140,29,110,30,60,11,97,88,41
./scriptbase titles/Only God Forgives/script.txt,Only God Forgives,181,413,346,105,32,203,55,197,59,91,171,135
./scriptbase titles/Sling Blade/script.txt,Sling Blade,94,274,222,46,18,128,53,105,41,46,131,89
./scriptbase titles/The Relic (film)/script.txt,The Relic (film),188,348,157,118,23,210,49,85,30,75,151,68
./scriptbase titles/Blow (film)/script.txt,Blow (film),117,248,307,52,11,125,35,171,39,40,106,148
./scriptbase titles/Queen of the Damned/script.txt,Queen of the Damned,260,399,258,142,51,218,59,130,52,97,144,95
./scriptbase titles/Hope and Glory (film)/script.txt,Hope and Glory (film),252,281,243,147,27,171,31,132,45,116,130,96
./scriptbase titles/The Usual Suspects/script.txt,The Usual Suspects,38,434,231,18,5,228,89,98,36,17,185,82
./scriptbase titles/One Flew Over the Cuckoos Nest (film)/script.txt,One Flew Over the Cuckoos Nest (film),72,197,305,50,6,115,22,152,91,35,92,114
./scriptbase titles/Dances with Wolves/script.txt,Dances with Wolves,210,668,176,123,31,363,135,109,30,82,282,80
./scriptbase titles/Who Framed Roger Rabbit/script.txt,Who Framed Roger Rabbit,103,547,410,63,6,351,36,253,86,46,269,189
./scriptbase titles/Detroit Rock City (film)/script.txt,Detroit Rock City (film),152,447,257,96,18,285,50,145,38,67,219,107
./scriptbase titles/The Thing from Another World/script.txt,The Thing from Another World,59,281,221,38,5,186,27,146,17,30,141,103
./scriptbase titles/Ghostbusters/script.txt,Ghostbusters,10,63,29,7,1,40,6,18,5,4,26,9
./scriptbase titles/Grand Theft Parsons/script.txt,Grand Theft Parsons,158,411,265,112,12,235,66,151,45,96,197,127
./scriptbase titles/Megamind/script.txt,Megamind,231,367,140,148,32,199,54,83,18,115,166,68
./scriptbase titles/Invaders from Mars (1986 film)/script.txt,Invaders from Mars (1986 film),181,425,174,93,15,181,82,99,24,71,121,78
./scriptbase titles/Shine (film)/script.txt,Shine (film),56,180,148,33,9,95,25,87,20,27,85,66
./scriptbase titles/The American (2010 film)/script.txt,The American (2010 film),176,310,234,107,20,167,51,129,63,82,145,97
./scriptbase titles/True Romance/script.txt,True Romance,155,563,535,95,13,361,76,276,167,76,279,256
./scriptbase titles/The Bodyguard (1992 film)/script.txt,The Bodyguard (1992 film),462,459,579,254,68,248,58,331,81,190,186,249
./scriptbase titles/Citizen Kane/script.txt,Citizen Kane,170,557,633,89,16,323,82,333,179,78,248,257
./scriptbase titles/The Reader (2008 film)/script.txt,The Reader (2008 film),201,197,89,105,28,112,24,51,11,95,80,37
./scriptbase titles/A Perfect World/script.txt,A Perfect World,177,754,167,95,28,470,103,102,25,70,369,77
./scriptbase titles/Miami Vice (film)/script.txt,Miami Vice (film),197,221,166,91,23,128,26,89,34,76,98,98
./scriptbase titles/Horrible Bosses/script.txt,Horrible Bosses,56,285,238,28,12,147,38,138,38,24,126,106
./scriptbase titles/Hollow Man/script.txt,Hollow Man,448,362,215,298,54,226,33,134,22,222,182,107
./scriptbase titles/Kramer vs. Kramer/script.txt,Kramer vs. Kramer,214,362,287,119,38,206,56,180,35,89,181,119
./scriptbase titles/The Visitor (2007 drama film)/script.txt,The Visitor (2007 drama film),118,593,89,66,18,333,84,51,18,65,266,55
./scriptbase titles/Eastern Promises/script.txt,Eastern Promises,313,496,81,172,43,326,51,45,10,104,209,38
./scriptbase titles/The Grudge/script.txt,The Grudge,623,379,78,354,88,238,46,41,13,235,167,28
./scriptbase titles/The Losers (film)/script.txt,The Losers (film),78,265,131,39,7,153,26,73,18,32,96,60
./scriptbase titles/Stepmom (film)/script.txt,Stepmom (film),570,235,301,310,84,110,34,157,50,234,77,121
./scriptbase titles/A Night at the Roxbury/script.txt,A Night at the Roxbury,59,177,208,44,3,100,18,129,27,30,87,102
./scriptbase titles/Mumford (film)/script.txt,Mumford (film),211,293,82,106,43,139,60,43,16,82,107,34
./scriptbase titles/Absolute Power (film)/script.txt,Absolute Power (film),188,655,164,105,36,398,82,108,22,81,308,82
./scriptbase titles/Mean Streets/script.txt,Mean Streets,57,277,106,24,3,160,40,61,13,21,124,49
./scriptbase titles/Made for Each Other (1939 film)/script.txt,Made for Each Other (1939 film),311,409,63,197,33,237,59,30,7,142,173,26
./scriptbase titles/Soldier (1998 American film)/script.txt,Soldier (1998 American film),84,414,163,44,7,206,89,75,31,27,148,64
./scriptbase titles/Anna Karenina (2012 film)/script.txt,Anna Karenina (2012 film),607,470,60,308,94,233,57,26,3,277,183,19
./scriptbase titles/The Apartment/script.txt,The Apartment,190,429,128,90,23,304,36,81,14,80,222,69
./scriptbase titles/The Company of Wolves/script.txt,The Company of Wolves,157,102,40,102,22,72,4,30,6,59,45,19
./scriptbase titles/The Life of David Gale/script.txt,The Life of David Gale,396,324,244,215,60,187,43,130,35,194,154,91
./scriptbase titles/Dexter (episode)/script.txt,Dexter (episode),64,260,47,34,10,159,32,28,10,38,118,24
./scriptbase titles/Big Fish/script.txt,Big Fish,235,630,130,132,35,375,83,74,11,118,284,54
./scriptbase titles/The Bonfire of the Vanities (film)/script.txt,The Bonfire of the Vanities (film),113,372,208,58,14,206,48,105,27,59,146,95
./scriptbase titles/Life (1999 film)/script.txt,Life (1999 film),84,245,457,55,15,152,25,327,45,41,122,246
./scriptbase titles/Margin Call (film)/script.txt,Margin Call (film),49,195,154,23,10,93,31,57,38,16,71,47
./scriptbase titles/Lord of Illusions/script.txt,Lord of Illusions,176,497,106,97,18,305,84,53,16,74,248,38
./scriptbase titles/Chinatown (1974 film)/script.txt,Chinatown (1974 film),168,408,166,90,21,235,58,92,19,69,189,71
./scriptbase titles/You Can Count on Me/script.txt,You Can Count on Me,139,243,316,72,12,107,29,186,52,65,93,151
./scriptbase titles/Terminator Salvation/script.txt,Terminator Salvation,107,338,114,69,6,190,50,69,16,48,140,55
./scriptbase titles/Meet Joe Black/script.txt,Meet Joe Black,302,368,323,139,58,170,68,148,59,100,133,111
./scriptbase titles/Body Heat/script.txt,Body Heat,335,468,200,182,36,259,59,102,26,160,209,69
./scriptbase titles/Collateral Damage (film)/script.txt,Collateral Damage (film),173,464,151,91,26,272,67,92,15,68,220,74
./scriptbase titles/Easy A/script.txt,Easy A,306,197,208,196,48,112,15,130,24,153,88,97
./scriptbase titles/Independence Day (1996 film)/script.txt,Independence Day (1996 film),185,311,394,121,32,181,35,243,41,95,121,200
./scriptbase titles/Batman Begins/script.txt,Batman Begins,128,563,154,59,18,315,65,97,15,47,239,79
./scriptbase titles/M (1931 film)/script.txt,M (1931 film),41,297,78,22,4,170,29,39,11,13,140,41
./scriptbase titles/A Few Good Men/script.txt,A Few Good Men,45,323,148,26,7,186,48,82,28,30,161,79
./scriptbase titles/From Dusk till Dawn/script.txt,From Dusk till Dawn,112,522,154,54,18,331,62,84,22,47,237,63
./scriptbase titles/Hitchcock (film)/script.txt,Hitchcock (film),364,327,112,212,35,198,34,60,16,180,166,43
./scriptbase titles/WALL-E/script.txt,WALL-E,137,148,330,77,14,67,16,219,29,54,57,157
./scriptbase titles/Catwoman (film)/script.txt,Catwoman (film),379,146,64,243,55,70,23,44,3,195,57,33
./scriptbase titles/The Hustler (film)/script.txt,The Hustler (film),159,317,316,82,20,184,43,196,25,70,152,142
./scriptbase titles/American Gangster (film)/script.txt,American Gangster (film),292,517,400,127,67,265,102,207,89,110,213,167
./scriptbase titles/From Here to Eternity/script.txt,From Here to Eternity,187,656,151,117,16,397,89,94,20,79,298,80
./scriptbase titles/Human Nature (film)/script.txt,Human Nature (film),345,422,62,207,48,221,52,33,10,172,162,23
./scriptbase titles/True Lies/script.txt,True Lies,409,852,485,192,52,523,94,236,140,158,431,201
./scriptbase titles/The Game (1997 film)/script.txt,The Game (1997 film),171,645,433,104,17,401,94,239,123,82,293,213
./scriptbase titles/Bad Boys (1995 film)/script.txt,Bad Boys (1995 film),153,330,172,80,23,186,46,108,20,66,158,81
./scriptbase titles/Wall Street (1987 film)/script.txt,Wall Street (1987 film),76,473,101,39,11,296,46,61,13,33,240,39
./scriptbase titles/The Butterfly Effect/script.txt,The Butterfly Effect,141,327,575,75,23,191,55,369,57,62,157,264
./scriptbase titles/Ghost World (film)/script.txt,Ghost World (film),381,214,616,214,44,103,26,269,223,186,90,241
./scriptbase titles/An Officer and a Gentleman/script.txt,An Officer and a Gentleman,264,499,194,136,33,286,63,118,22,105,223,96
./scriptbase titles/Chaos (2005 Capitol film)/script.txt,Chaos (2005 Capitol film),38,192,149,20,6,102,32,93,19,17,97,77
./scriptbase titles/Hannibal (film)/script.txt,Hannibal (film),37,84,62,15,5,43,16,37,8,15,30,37
./scriptbase titles/Oceans Twelve/script.txt,Oceans Twelve,212,347,192,110,30,194,49,103,22,89,155,83
./scriptbase titles/Mr. Blandings Builds His Dream House/script.txt,Mr. Blandings Builds His Dream House,151,403,122,85,8,274,36,67,13,62,211,62
./scriptbase titles/Stolen Summer/script.txt,Stolen Summer,100,591,288,59,8,324,67,165,30,48,228,127
./scriptbase titles/Kafka (film)/script.txt,Kafka (film),56,333,106,30,11,152,68,62,9,20,138,49
./scriptbase titles/Charade (1963 film)/script.txt,Charade (1963 film),252,464,92,144,29,238,64,50,13,119,188,46
./scriptbase titles/Bull Durham/script.txt,Bull Durham,105,214,70,63,14,124,31,34,9,53,98,22
./scriptbase titles/Final Destination 2/script.txt,Final Destination 2,236,154,386,146,30,86,25,203,101,101,60,166
./scriptbase titles/Beasts of the Southern Wild/script.txt,Beasts of the Southern Wild,221,101,100,127,25,70,7,63,5,96,51,48
./scriptbase titles/War of the Worlds (2005 film)/script.txt,War of the Worlds (2005 film),126,310,182,60,20,190,32,99,26,41,131,90
./scriptbase titles/Starman (film)/script.txt,Starman (film),392,363,133,233,47,192,55,72,19,181,166,56
./scriptbase titles/Game 6/script.txt,Game 6,77,220,208,39,21,112,42,107,21,27,110,99
./scriptbase titles/The Shipping News (film)/script.txt,The Shipping News (film),342,414,138,183,53,203,79,62,19,133,156,43
./scriptbase titles/Sense and Sensibility (film)/script.txt,Sense and Sensibility (film),299,303,92,136,34,164,40,42,20,90,123,40
./scriptbase titles/Shivers (film)/script.txt,Shivers (film),249,364,172,141,38,248,46,98,16,105,180,76
./scriptbase titles/Four Rooms/script.txt,Four Rooms,323,311,296,206,41,194,32,179,36,145,150,146
./scriptbase titles/Breakdown (film)/script.txt,Breakdown (film),100,615,84,46,8,386,93,45,11,32,287,31
./scriptbase titles/Arcade (film)/script.txt,Arcade (film),142,135,318,78,24,90,14,202,58,60,75,140
./scriptbase titles/Innerspace/script.txt,Innerspace,126,409,349,66,17,254,45,199,47,53,188,150
./scriptbase titles/The Jackie Robinson Story/script.txt,The Jackie Robinson Story,52,335,274,29,12,208,46,163,43,17,163,136
./scriptbase titles/Code of Silence (film)/script.txt,Code of Silence (film),132,227,371,61,15,131,25,253,40,41,114,178
./scriptbase titles/Spare Me (film)/script.txt,Spare Me (film),291,180,400,126,49,104,20,230,85,138,76,189
./scriptbase titles/Observe and Report/script.txt,Observe and Report,124,259,376,62,9,175,15,225,53,47,127,160
./scriptbase titles/The Pianist (2002 film)/script.txt,The Pianist (2002 film),51,358,152,33,4,209,52,87,15,27,151,75
./scriptbase titles/Swordfish (film)/script.txt,Swordfish (film),110,387,413,65,9,231,39,243,87,43,183,190
./scriptbase titles/The Birds (film)/script.txt,The Birds (film),775,287,176,393,169,170,28,101,24,345,119,85
./scriptbase titles/Mirrors (film)/script.txt,Mirrors (film),296,384,346,176,38,204,65,226,58,136,180,158
./scriptbase titles/The Stunt Man/script.txt,The Stunt Man,187,658,677,103,17,387,91,354,165,80,299,299
./scriptbase titles/Fight Club/script.txt,Fight Club,114,365,525,64,12,245,46,280,104,51,177,219
./scriptbase titles/I Am Legend (film)/script.txt,I Am Legend (film),225,952,146,129,26,615,137,76,27,90,493,70
./scriptbase titles/Black Snake Moan (film)/script.txt,Black Snake Moan (film),510,462,184,287,65,309,43,105,26,199,242,83
./scriptbase titles/The Godfather Part II/script.txt,The Godfather Part II,165,659,346,72,27,359,118,202,41,70,293,148
./scriptbase titles/Escape from New York/script.txt,Escape from New York,15,199,49,10,1,105,36,23,9,9,110,19
./scriptbase titles/Highlander (film)/script.txt,Highlander (film),216,378,108,113,21,208,50,61,11,75,162,50
./scriptbase titles/JFK (film)/script.txt,JFK (film),117,744,347,54,16,371,106,189,56,37,314,173
./scriptbase titles/The Lost Weekend (film)/script.txt,The Lost Weekend (film),171,505,305,94,20,282,68,190,28,75,245,144
./scriptbase titles/Man on the Moon (film)/script.txt,Man on the Moon (film),86,349,416,50,10,220,43,278,63,36,147,180
./scriptbase titles/Leviathan (1989 film)/script.txt,Leviathan (1989 film),111,279,272,73,10,145,52,144,29,58,120,126
./scriptbase titles/The Faculty/script.txt,The Faculty,194,288,316,119,12,180,21,165,77,89,136,141
./scriptbase titles/I Love You Phillip Morris/script.txt,I Love You Phillip Morris,57,375,267,30,6,206,58,164,44,26,167,115
./scriptbase titles/The Italian Job (2003 film)/script.txt,The Italian Job (2003 film),132,325,182,69,17,201,50,121,26,55,169,100
./scriptbase titles/Legend (1985 film)/script.txt,Legend (1985 film),229,135,189,131,36,83,17,127,25,78,60,97
./scriptbase titles/The Ice Storm (film)/script.txt,The Ice Storm (film),199,220,190,118,22,116,30,102,21,81,89,79
./scriptbase titles/Notting Hill (film)/script.txt,Notting Hill (film),190,292,136,106,23,181,27,87,12,70,147,70
./scriptbase titles/The Empire Strikes Back/script.txt,The Empire Strikes Back,83,346,156,41,11,206,37,92,19,27,151,62
./scriptbase titles/The Third Man/script.txt,The Third Man,152,465,123,99,7,299,38,71,11,86,202,68
./scriptbase titles/The Avengers (1998 film)/script.txt,The Avengers (1998 film),159,207,374,72,22,127,23,226,52,65,93,181
./scriptbase titles/Life as a House/script.txt,Life as a House,235,437,629,147,31,264,79,443,84,102,197,316
./scriptbase titles/Being John Malkovich/script.txt,Being John Malkovich,212,312,61,111,28,187,47,21,14,89,142,21
./scriptbase titles/Final Destination (film)/script.txt,Final Destination (film),131,298,187,70,24,175,37,98,25,56,137,69
./scriptbase titles/Indiana Jones and the Last Crusade/script.txt,Indiana Jones and the Last Crusade,75,346,112,35,6,199,40,77,14,22,159,54
./scriptbase titles/The Ninth Gate/script.txt,The Ninth Gate,88,326,86,49,5,231,41,43,12,35,163,38
./scriptbase titles/The Sandlot/script.txt,The Sandlot,32,248,394,15,5,141,31,231,86,13,121,199
./scriptbase titles/The Last Temptation of Christ (film)/script.txt,The Last Temptation of Christ (film),87,631,235,44,13,346,78,132,35,32,241,89
./scriptbase titles/Big (film)/script.txt,Big (film),14,35,28,7,0,18,7,14,2,3,13,15
./scriptbase titles/The Descendants/script.txt,The Descendants,261,221,310,114,50,102,36,172,46,98,90,130
./scriptbase titles/Predator (film)/script.txt,Predator (film),107,573,103,56,11,369,88,66,9,38,297,45
./scriptbase titles/Beetlejuice/script.txt,Beetlejuice,421,331,171,250,44,189,40,83,26,186,127,61
./scriptbase titles/Les Miserables (2012 film)/script.txt,Les Miserables (2012 film),154,408,138,57,29,213,68,80,23,50,171,66
./scriptbase titles/The Public Eye (film)/script.txt,The Public Eye (film),123,507,131,60,16,272,110,79,16,47,213,60
./scriptbase titles/Sherlock Holmes (2009 film)/script.txt,Sherlock Holmes (2009 film),202,416,378,141,21,229,68,164,118,105,186,158
./scriptbase titles/Next Friday/script.txt,Next Friday,152,408,97,102,20,255,41,59,13,80,190,50
./scriptbase titles/Jennifers Body/script.txt,Jennifers Body,389,207,87,234,49,119,19,50,9,172,90,37
./scriptbase titles/What About Bob/script.txt,What About Bob,124,509,299,80,16,299,67,169,31,54,231,125
./scriptbase titles/Boogie Nights/script.txt,Boogie Nights,97,258,142,52,16,150,26,91,10,41,117,75
./scriptbase titles/Henry Fool/script.txt,Henry Fool,384,582,553,219,42,323,88,320,76,149,225,181
./scriptbase titles/Law Abiding Citizen/script.txt,Law Abiding Citizen,77,380,256,44,11,232,53,149,40,34,192,115
./scriptbase titles/Changeling (film)/script.txt,Changeling (film),445,531,204,256,80,258,90,133,24,170,199,97
./scriptbase titles/Die Hard/script.txt,Die Hard,61,528,223,26,6,323,62,118,36,24,253,103
./scriptbase titles/Superman (1978 film)/script.txt,Superman (1978 film),32,170,227,17,7,96,27,117,65,9,60,110
./scriptbase titles/Jaws (film)/script.txt,Jaws (film),40,283,126,23,5,173,33,89,12,17,135,70
./scriptbase titles/The Adventures of Ford Fairlane/script.txt,The Adventures of Ford Fairlane,90,411,431,48,7,289,24,232,123,29,218,187
./scriptbase titles/Brick (film)/script.txt,Brick (film),209,572,96,101,31,335,68,57,10,77,271,40
./scriptbase titles/Bound (film)/script.txt,Bound (film),435,738,59,238,65,398,119,29,6,179,344,23
./scriptbase titles/Trainspotting (film)/script.txt,Trainspotting (film),58,222,356,36,8,127,31,175,95,26,114,139
./scriptbase titles/Kate & Leopold/script.txt,Kate & Leopold,363,451,114,202,52,224,66,76,7,151,196,58
./scriptbase titles/The Salton Sea/script.txt,The Salton Sea,86,347,293,41,11,212,46,174,28,29,177,135
./scriptbase titles/Youth in Revolt (film)/script.txt,Youth in Revolt (film),228,382,431,128,25,213,52,266,55,108,160,217
./scriptbase titles/Slumdog Millionaire/script.txt,Slumdog Millionaire,104,420,94,50,18,263,55,60,9,34,204,45
./scriptbase titles/Taking Sides (film)/script.txt,Taking Sides (film),51,273,237,31,2,139,59,139,19,20,129,121
./scriptbase titles/The Sting/script.txt,The Sting,45,472,92,18,7,256,69,55,11,17,225,42
./scriptbase titles/The Seventh Victim/script.txt,The Seventh Victim,148,103,31,75,14,60,17,11,4,52,42,10
./scriptbase titles/An Education/script.txt,An Education,449,185,238,216,64,104,31,124,29,184,85,97
